countyId,temperature,humidity,wind,degree,altitude
30101,67.73000000000005,46,2.4,349,1014
30102,67.73000000000005,43,2.54,348,1014
30103,64.13000000000004,62,1.53,5,1015
30320,67.73000000000005,45,1.09,65,1014
30004,67.73000000000005,43,1.09,0,1014
30005,67.73000000000005,43,0.72,27,1014
30009,67.73000000000005,42,1.15,3,1014
30022,67.73000000000005,41,0.88,28,1014
30023,67.73000000000005,42,1.08,6,1014
30301,67.73000000000005,40,1.64,6,1014
30302,67.73000000000005,44,1.12,41,1014
30303,67.73000000000005,44,1.12,41,1014
30304,67.73000000000005,41,1.52,10,1014
30305,67.73000000000005,42,1.3,21,1014
30306,67.73000000000005,43,1.14,39,1014
30307,67.73000000000005,44,1.12,46,1014
30308,67.73000000000005,43,1.14,38,1014
30309,67.73000000000005,42,1.21,28,1014
30310,67.73000000000005,44,1.1,42,1014
30311,67.73000000000005,43,1.1,36,1014
30312,67.73000000000005,44,1.12,43,1014
30313,67.73000000000005,43,1.15,36,1014
30314,67.73000000000005,43,1.18,31,1014
30315,67.73000000000005,45,1.11,55,1014
30316,67.73000000000005,45,1.14,60,1014
30317,67.73000000000005,45,1.12,55,1014
30318,67.73000000000005,42,1.32,19,1014
30319,67.73000000000005,42,1.24,23,1014
30320,67.73000000000005,45,1.09,65,1014
30321,67.73000000000005,44,1.12,41,1014
30322,67.73000000000005,44,1.11,44,1014
30324,67.73000000000005,43,1.17,32,1014
30325,67.73000000000005,40,1.64,6,1014
30326,67.73000000000005,42,1.26,23,1014
30327,67.73000000000005,41,1.53,10,1014
30328,67.73000000000005,40,1.74,2,1014
30329,67.73000000000005,43,1.12,39,1014
30331,67.73000000000005,43,1.14,29,1014
30332,67.73000000000005,43,1.18,31,1014
30333,67.73000000000005,45,1.41,103,1014
30334,67.73000000000005,44,1.12,41,1014
30336,67.73000000000005,44,1.27,20,1014
30337,67.73000000000005,45,1.06,69,1014
30338,67.73000000000005,40,1.38,10,1014
30339,67.73000000000005,40,1.77,3,1014
30340,67.73000000000005,42,1.02,47,1014
30341,67.73000000000005,42,1.1,33,1014
30342,67.73000000000005,41,1.43,13,1014
30343,67.73000000000005,44,1.12,41,1014
30344,67.73000000000005,44,1.05,51,1014
30345,67.73000000000005,43,1.09,41,1014
30346,67.73000000000005,40,1.33,15,1014
30348,67.73000000000005,40,1.64,6,1014
30349,67.73000000000005,45,1.09,79,1014
30350,67.73000000000005,39,1.54,5,1014
30353,67.73000000000005,44,1.12,41,1014
30354,67.73000000000005,45,1.12,65,1014
30355,67.73000000000005,40,1.64,6,1014
30356,67.73000000000005,45,1.41,103,1014
30357,67.73000000000005,40,1.64,6,1014
30358,67.73000000000005,44,1.12,41,1014
30359,67.73000000000005,45,1.41,103,1014
30360,67.73000000000005,41,1.07,30,1014
30361,67.73000000000005,40,1.64,6,1014
30362,67.73000000000005,45,1.41,103,1014
30364,67.73000000000005,40,1.64,6,1014
30366,67.73000000000005,45,1.41,103,1014
30368,67.73000000000005,40,1.64,6,1014
30369,67.73000000000005,40,1.64,6,1014
30370,67.73000000000005,44,1.12,41,1014
30371,67.73000000000005,40,1.64,6,1014
30374,67.73000000000005,44,1.12,41,1014
30375,67.73000000000005,40,1.64,6,1014
30377,67.73000000000005,40,1.64,6,1014
30378,67.73000000000005,40,1.64,6,1014
30380,67.73000000000005,40,1.64,6,1014
30384,67.73000000000005,40,1.64,6,1014
30385,67.73000000000005,40,1.64,6,1014
30388,67.73000000000005,40,1.64,6,1014
30392,67.73000000000005,44,1.12,41,1014
30394,67.73000000000005,44,1.12,41,1014
30396,67.73000000000005,40,1.64,6,1014
30398,67.73000000000005,40,1.64,6,1014
31106,67.73000000000005,40,1.64,6,1014
31107,67.73000000000005,40,1.64,6,1014
31119,67.73000000000005,45,1.41,103,1014
31126,67.73000000000005,40,1.64,6,1014
31131,67.73000000000005,40,1.64,6,1014
31139,67.73000000000005,40,1.64,6,1014
31141,67.73000000000005,45,1.41,103,1014
31145,67.73000000000005,45,1.41,103,1014
31146,67.73000000000005,45,1.41,103,1014
31150,67.73000000000005,40,1.64,6,1014
31156,67.73000000000005,40,1.64,6,1014
31192,67.73000000000005,40,1.64,6,1014
31193,67.73000000000005,40,1.64,6,1014
31195,67.73000000000005,40,1.64,6,1014
31196,67.73000000000005,40,1.64,6,1014
30301,67.73000000000005,40,1.64,6,1014
30302,67.73000000000005,44,1.12,41,1014
30303,67.73000000000005,44,1.12,41,1014
30304,67.73000000000005,41,1.52,10,1014
30305,67.73000000000005,42,1.3,21,1014
30306,67.73000000000005,43,1.14,39,1014
30307,67.73000000000005,44,1.12,46,1014
30308,67.73000000000005,43,1.14,38,1014
30309,67.73000000000005,42,1.21,28,1014
30310,67.73000000000005,44,1.1,42,1014
30311,67.73000000000005,43,1.1,36,1014
30312,67.73000000000005,44,1.12,43,1014
30313,67.73000000000005,43,1.15,36,1014
30314,67.73000000000005,43,1.18,31,1014
30315,67.73000000000005,45,1.11,55,1014
30316,67.73000000000005,45,1.14,60,1014
30317,67.73000000000005,45,1.12,55,1014
30318,67.73000000000005,42,1.32,19,1014
30319,67.73000000000005,42,1.24,23,1014
30320,67.73000000000005,45,1.09,65,1014
30321,67.73000000000005,44,1.12,41,1014
30322,67.73000000000005,44,1.11,44,1014
30324,67.73000000000005,43,1.17,32,1014
30325,67.73000000000005,40,1.64,6,1014
30326,67.73000000000005,42,1.26,23,1014
30327,67.73000000000005,41,1.53,10,1014
30328,67.73000000000005,40,1.74,2,1014
30329,67.73000000000005,43,1.12,39,1014
30331,67.73000000000005,43,1.14,29,1014
30332,67.73000000000005,43,1.18,31,1014
30333,67.73000000000005,45,1.41,103,1014
30334,67.73000000000005,44,1.12,41,1014
30336,67.73000000000005,44,1.27,20,1014
30337,67.73000000000005,45,1.06,69,1014
30338,67.73000000000005,40,1.38,10,1014
30339,67.73000000000005,40,1.77,3,1014
30340,67.73000000000005,42,1.02,47,1014
30341,67.73000000000005,42,1.1,33,1014
30342,67.73000000000005,41,1.43,13,1014
30343,67.73000000000005,44,1.12,41,1014
30344,67.73000000000005,44,1.05,51,1014
30345,67.73000000000005,43,1.09,41,1014
30346,67.73000000000005,40,1.33,15,1014
30348,67.73000000000005,40,1.64,6,1014
30349,67.73000000000005,45,1.09,79,1014
30350,67.73000000000005,39,1.54,5,1014
30353,67.73000000000005,44,1.12,41,1014
30354,67.73000000000005,45,1.12,65,1014
30355,67.73000000000005,40,1.64,6,1014
30356,67.73000000000005,45,1.41,103,1014
30357,67.73000000000005,40,1.64,6,1014
30358,67.73000000000005,44,1.12,41,1014
30359,67.73000000000005,45,1.41,103,1014
30360,67.73000000000005,41,1.07,30,1014
30361,67.73000000000005,40,1.64,6,1014
30362,67.73000000000005,45,1.41,103,1014
30363,67.73000000000005,43,1.21,28,1014
30364,67.73000000000005,40,1.64,6,1014
30366,67.73000000000005,45,1.41,103,1014
30368,67.73000000000005,40,1.64,6,1014
30369,67.73000000000005,40,1.64,6,1014
30370,67.73000000000005,44,1.12,41,1014
30371,67.73000000000005,40,1.64,6,1014
30374,67.73000000000005,44,1.12,41,1014
30375,67.73000000000005,40,1.64,6,1014
30377,67.73000000000005,40,1.64,6,1014
30378,67.73000000000005,40,1.64,6,1014
30380,67.73000000000005,40,1.64,6,1014
30384,67.73000000000005,40,1.64,6,1014
30385,67.73000000000005,40,1.64,6,1014
30388,67.73000000000005,40,1.64,6,1014
30392,67.73000000000005,44,1.12,41,1014
30394,67.73000000000005,44,1.12,41,1014
30396,67.73000000000005,40,1.64,6,1014
30398,67.73000000000005,40,1.64,6,1014
31106,67.73000000000005,40,1.64,6,1014
31107,67.73000000000005,40,1.64,6,1014
31119,67.73000000000005,45,1.41,103,1014
31126,67.73000000000005,40,1.64,6,1014
31131,67.73000000000005,40,1.64,6,1014
31136,67.73000000000005,44,1.12,43,1014
31139,67.73000000000005,40,1.64,6,1014
31141,67.73000000000005,45,1.41,103,1014
31145,67.73000000000005,45,1.41,103,1014
31146,67.73000000000005,45,1.41,103,1014
31150,67.73000000000005,40,1.64,6,1014
31156,67.73000000000005,40,1.64,6,1014
31192,67.73000000000005,40,1.64,6,1014
31193,67.73000000000005,40,1.64,6,1014
31195,67.73000000000005,40,1.64,6,1014
31196,67.73000000000005,40,1.64,6,1014
39901,67.73000000000005,45,1.41,103,1014
31195,67.73000000000005,40,1.64,6,1014
31196,67.73000000000005,40,1.64,6,1014
30060,67.73000000000005,40,2.43,353,1014
30380,67.73000000000005,40,1.64,6,1014
30375,67.73000000000005,40,1.64,6,1014
30385,67.73000000000005,40,1.64,6,1014